question_id,subject,field,latex,error
"Q-0000479","Toán","dap_an","2h); x \ge  0, y \ge  0}.","KaTeX parse error: Expected 'EOF', got '}' at position 24: …ge 0, y \ge 0}̲."
"Q-0000697","Toán","noi_dung","\overrightarrow{AB}+\overrightarrow{BC}=\overrightarrow{____}","KaTeX parse error: Expected group after '_' at position 57: …overrightarrow{_̲___}"
"Q-0000707","Toán","noi_dung","\overrightarrow{AB}+\overrightarrow{AD}=\overrightarrow{____}","KaTeX parse error: Expected group after '_' at position 57: …overrightarrow{_̲___}"
"Q-0000717","Toán","noi_dung","\vec{a}-\vec{b}=\vec{a}+(____)","KaTeX parse error: Expected group after '_' at position 26: …ec{b}=\vec{a}+(_̲___)"
"Q-0000717","Toán","noi_dung","(____)","KaTeX parse error: Expected group after '_' at position 2: (_̲___)"
"Q-0000727","Toán","noi_dung","\overrightarrow{MA}+\overrightarrow{MB}=____","KaTeX parse error: Expected group after '_' at position 41: …rightarrow{MB}=_̲___"
"Q-0000737","Toán","noi_dung","|\vec{F}|=\sqrt{____+____}","KaTeX parse error: Expected group after '_' at position 17: …\vec{F}|=\sqrt{_̲___+____}"
"Q-0000767","Toán","noi_dung","\vec{b}=____\cdot\vec{a}","KaTeX parse error: Expected group after '_' at position 9: \vec{b}=_̲___\cdot\vec{a}"
"Q-0000787","Toán","noi_dung","|\vec{a}|=\sqrt{____+____}","KaTeX parse error: Expected group after '_' at position 17: …\vec{a}|=\sqrt{_̲___+____}"
"Q-0000807","Toán","noi_dung","AB=\sqrt{(____)^2+(____)^2}","KaTeX parse error: Expected group after '_' at position 11: AB=\sqrt{(_̲___)^2+(____)^2…"
"Q-0000817","Toán","noi_dung","x_1y_2-____y_1=0","KaTeX parse error: Expected group after '_' at position 8: x_1y_2-_̲___y_1=0"
"Q-0000857","Toán","noi_dung","\vec{a}\cdot\vec{a}=x^2+y^2=|\vec{a}|^{____}","KaTeX parse error: Expected group after '_' at position 40: …y^2=|\vec{a}|^{_̲___}"
"Q-0000867","Toán","noi_dung","x_1x_2+____=0","KaTeX parse error: Expected group after '_' at position 8: x_1x_2+_̲___=0"
"Q-0000887","Toán","noi_dung","\vec{a}\cdot\vec{a}=|\vec{a}|\cdot|\vec{a}|\cdot\cos(____°)=|\vec{a}|^2","KaTeX parse error: Expected group after '_' at position 54: …c{a}|\cdot\cos(_̲___°)=|\vec{"
"Q-0000897","Toán","noi_dung","\Delta a=____","KaTeX parse error: Expected group after '_' at position 10: \Delta a=_̲___"
"Q-0000907","Toán","noi_dung","\bar{a}=a\pm____","KaTeX parse error: Expected group after '_' at position 13: \bar{a}=a\pm_̲___"
"Q-0000917","Toán","noi_dung","\delta_a=\dfrac{d}{____}","KaTeX parse error: Expected group after '_' at position 20: …ta_a=\dfrac{d}{_̲___}"
"Q-0000967","Toán","noi_dung","\bar{x}=\dfrac{\sum ____\cdot____}{\sum n_i}","KaTeX parse error: Expected group after '_' at position 21: …x}=\dfrac{\sum _̲___\cdot____"
"Q-0000987","Toán","noi_dung","Q1\le____\le____","KaTeX parse error: Expected group after '_' at position 6: Q1\le_̲___\le____"
"Q-0001057","Toán","noi_dung","s^2=\dfrac{\sum n_i(x_i-\bar{x})^{____}}{\sum ____}","KaTeX parse error: Expected group after '_' at position 35: …(x_i-\bar{x})^{_̲___}}{\sum _"
"Q-0001067","Toán","noi_dung","Q1-____\times IQR","KaTeX parse error: Expected group after '_' at position 4: Q1-_̲___\times IQR"
"Q-0001067","Toán","noi_dung","Q3+____\times IQR","KaTeX parse error: Expected group after '_' at position 4: Q3+_̲___\times IQR"
"Q-0001100","Toán","dap_an","1: D=R\{2}","KaTeX parse error: Expected 'EOF', got '}' at position 10: 1: D=R\{2}̲"
"Q-0001109","Toán","dap_an","D=R\{-3;3}","KaTeX parse error: Expected 'EOF', got '}' at position 10: D=R\{-3;3}̲"
"Q-0001109","Toán","nhieu","D=R\{9}","KaTeX parse error: Expected 'EOF', got '}' at position 7: D=R\{9}̲"
"Q-0001110","Toán","dap_an","3: D=[-3;+\infty )\{1}.","KaTeX parse error: Expected 'EOF', got '}' at position 22: …-3;+\infty )\{1}̲."
"Q-0001112","Toán","dap_an","D=[-3;3]\{-2}","KaTeX parse error: Expected 'EOF', got '}' at position 13: D=[-3;3]\{-2}̲"
"Q-0001112","Toán","loi_giai","D=[-3;3]\{-2}.","KaTeX parse error: Expected 'EOF', got '}' at position 13: D=[-3;3]\{-2}̲."
"Q-0001317","Toán","noi_dung","100m^{2}'","KaTeX parse error: Double superscript at position 9: 100m^{2}'̲"
"Q-0001343","Toán","noi_dung","f(x)=[g(x)]^\underline{\ \ \ \ }.","KaTeX parse error: Got function '\underline' with no arguments as superscript at position "
"Q-0001645","Toán","loi_giai","y^{2}'","KaTeX parse error: Double superscript at position 6: y^{2}'̲"
"Q-0001699","Toán","loi_giai","{X1, X2,","KaTeX parse error: Expected '}', got 'EOF' at end of input: {X1, X2,"
"Q-0001771","Toán","loi_giai","Nam1, Nam2}","KaTeX parse error: Expected 'EOF', got '}' at position 11: Nam1, Nam2}̲"
"Q-0001810","Toán","noi_dung","x^m'","KaTeX parse error: Double superscript at position 4: x^m'̲"
"Q-0001811","Toán","noi_dung","x^{3}'","KaTeX parse error: Double superscript at position 6: x^{3}'̲"
"Q-0001811","Toán","noi_dung","x^{3}'","KaTeX parse error: Double superscript at position 6: x^{3}'̲"
"Q-0001830","Toán","loi_giai","= {SS,","KaTeX parse error: Expected '}', got 'EOF' at end of input: = {SS,"
"Q-0001830","Toán","loi_giai","NN} \Rightarrow","KaTeX parse error: Expected 'EOF', got '}' at position 3: NN}̲ \Rightarrow"
"Q-0001841","Toán","loi_giai","= {SS,","KaTeX parse error: Expected '}', got 'EOF' at end of input: = {SS,"
"Q-0001841","Toán","loi_giai","NN}. A = {SN, NS} \Rightarrow  n(A) = 2.","KaTeX parse error: Expected 'EOF', got '}' at position 3: NN}̲. A = {SN, NS} …"
"Q-0001844","Toán","loi_giai","\Rightarrow  A = {SSN,","KaTeX parse error: Expected '}', got 'EOF' at end of input: …rrow A = {SSN,"
"Q-0001844","Toán","loi_giai","SSS} \Rightarrow  n(A) = 4.","KaTeX parse error: Expected 'EOF', got '}' at position 4: SSS}̲ \Rightarrow n…"
"Q-0001850","Toán","loi_giai","= {SS,","KaTeX parse error: Expected '}', got 'EOF' at end of input: = {SS,"
"Q-0001850","Toán","loi_giai","NN} \Rightarrow","KaTeX parse error: Expected 'EOF', got '}' at position 3: NN}̲ \Rightarrow"
"Q-0001875","Toán","loi_giai","A = {SS,","KaTeX parse error: Expected '}', got 'EOF' at end of input: A = {SS,"
"Q-0001875","Toán","loi_giai","NS} \Rightarrow  \frac{3}{4}","KaTeX parse error: Expected 'EOF', got '}' at position 3: NS}̲ \Rightarrow \…"
"Q-0001895","Toán","loi_giai","= 2^{3} = 8. A = {SSN,","KaTeX parse error: Expected '}', got 'EOF' at end of input: … = 8. A = {SSN,"
"Q-0001895","Toán","loi_giai","NSS} \Rightarrow  n(A) = 3. P = \frac{3}{8}.","KaTeX parse error: Expected 'EOF', got '}' at position 4: NSS}̲ \Rightarrow n…"
"Q-0002619","Tiếng Anh","noi_dung","Tips\n1.","KaTeX parse error: Undefined control sequence: \n at position 5: Tips\̲n̲1."
"Q-0002619","Tiếng Anh","noi_dung","8 hours.\n2.","KaTeX parse error: Undefined control sequence: \n at position 9: 8 hours.\̲n̲2."
"Q-0002619","Tiếng Anh","noi_dung","well.\n3.","KaTeX parse error: Undefined control sequence: \n at position 6: well.\̲n̲3."
"Q-0004334","Vật lí","dap_an","\theta ̄ = \frac{8.0+8.2+7.9+8.1}{4} = 32.\frac{2}{4} = 8.05^{\circ}.","KaTeX parse error: Expected 'EOF', got '̄' at position 8: \theta ̲̄ = \frac{8.0+8.…"
"Q-0004344","Vật lí","noi_dung","\theta ̄=8.05^{\circ},","KaTeX parse error: Expected 'EOF', got '̄' at position 8: \theta ̲̄=8.05^{\circ},"
"Q-0004344","Vật lí","noi_dung","\Delta \theta ̄.","KaTeX parse error: Expected 'EOF', got '̄' at position 15: \Delta \theta ̲̄."
"Q-0004344","Vật lí","dap_an","= 0.40. \Delta \theta ̄ = 0.\frac{40}{4} = 0.10^{\circ}.","KaTeX parse error: Expected 'EOF', got '̄' at position 23: … \Delta \theta ̲̄ = 0.\frac{40"
"Q-0004344","Vật lí","loi_giai","|\theta i-\theta ̄|","KaTeX parse error: Expected 'EOF', got '̄' at position 18: …theta i-\theta ̲̄|"
"Q-0004364","Vật lí","noi_dung","\Delta \theta ̄=0.10^{\circ}","KaTeX parse error: Expected 'EOF', got '̄' at position 15: \Delta \theta ̲̄=0.10^{\circ}"
"Q-0004364","Vật lí","dap_an","\Delta \theta  = \Delta \theta ̄ + \Delta dc = 0.10 + 0.05 = 0.15^{\circ}.","KaTeX parse error: Expected 'EOF', got '̄' at position 32: … \Delta \theta ̲̄ + \Delta dc "
"Q-0004374","Vật lí","noi_dung","\theta ̄=8.05^{\circ}","KaTeX parse error: Expected 'EOF', got '̄' at position 8: \theta ̲̄=8.05^{\circ}"
